EDITORIAL LINKING MAP: What Every City Guide & Blog Post Should Link To,,,,,,,,,
"Your navigation already connects IDX pages to each other (listings, condos, open houses, snapshots). This map covers the EDITORIAL layer: what links to manually include when writing city guides, blog posts, and neighborhood guides in Marblism or the Blog Project. Use this as a lookup table every time you create or update content.",,,,,,,,,
City,City Guide Hub,Market Snapshot,IDX Listings Page,Open House Page,Blog Posts About This City,Neighbor City Guides (cross-link),Neighborhood Guides,Related Blog Posts (non-city-specific),Status
Aloha,https://www.sellingpdxhomes.com/living-in-aloha-oregon,(no snapshot page),(no dedicated IDX page),(no open house page),(none yet),"Beaverton, Hillsboro",(none yet),Market Update (category URL),Planned
Forest Grove,https://www.sellingpdxhomes.com/living-in-forest-grove-oregon,https://www.sellingpdxhomes.com/forest_grove_snapshot,(no SFH page - luxury only),https://www.sellingpdxhomes.com/listing/open-house/forest-grove,(none yet),"Hillsboro, Cornelius",(none yet),Market Update (category URL),Planned
UNIVERSAL LINKS (include in EVERY editorial piece),,,,,,,,,
Resource,URL,When to Link,,,,,,,
Market Update Category,https://www.sellingpdxhomes.com/blog?categoryId=57180,Always shows newest market report. Use this instead of linking to individual monthly posts.,,,,,,,
Home Buyer Guide,https://www.sellingpdxhomes.com/home-buyers-guide,Link from any buyer-focused content. Lead magnet capture.,,,,,,,
Home Seller Guide,https://www.sellingpdxhomes.com/seller-guide,Link from any seller-focused content. Lead magnet capture.,,,,,,,
Home Valuation,https://www.sellingpdxhomes.com/evaluation,Link from seller content and market updates. Conversion page.,,,,,,,
Contact Page,https://www.sellingpdxhomes.com/contact,"Soft CTA destination. ""When you are ready, I am here.""",,,,,,,
Downsizing Hub,https://www.sellingpdxhomes.com/downsizing,Link from downsizing/55+ content.,,,,,,,
Mortgage Calculator,https://www.sellingpdxhomes.com/mortgage-copy,Link from buyer education and affordability content.,,,,,,,
Downsizing Guide,https://www.sellingpdxhomes.com/downsizing-guide,Lead magnet for downsizer/55+ content.,,,,,,,
